,FLA1 amount,RAM1 amount,LAN speed,802dot11,Release
Cisco DPC3939,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn,2013
Linksys WRT1200AC,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
PESI WA211P,0.25 MiB262144 B2048 Kib256 KiB2 Mib2.441406e-4 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10,b,2002
ASUS RT-AC5300,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Apple AirPort Extreme Base Station A1521 (ME918LL/A),32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2013
Thomson TG787,,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100,bg,
Netgear R8500,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Securifi Almond+,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2014
Netgear R7800,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2016
D-Link DIR-857,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn,2011
Emtac A2588,0.5 MiB524288 B4096 Kib512 KiB4 Mib4.882812e-4 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100,b,2001
Billion BiPAC 7800VNOX,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,bgn,2013
Actiontec R3000,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Linksys EA6500 v2,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Netgear R6700,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Cisco AIR-CAP2602E-A-K9,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
LANCOM L-451,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Cisco DPC3929CMAD,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
D-Link DVG-N5402SP,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,bgn,
Aruba Networks AP-134,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2011
Netgear R7000,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
D-Link DIR-880L rev A1,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Xirrus XR-520,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
Linksys EA6700,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Technicolor MediaAccess TC8706C,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
TRENDnet TEW-823DRU V1.xR,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
D-Link DIR-890L rev A1,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
