,FLA1 amount,RAM1 amount,LAN speed,802dot11,Release
Pronto Networks Wavespot,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
TRENDnet TEW-732BR,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
Belkin F9K1003,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
Netgear DGN2200v3,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
Manhattan 525480,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn+ac,2013
Netgear WNR3500Lv1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2009
TP-LINK TL-ER604W,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2013
Trapeze Networks MP-82,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2009
Sitecom WLR-6100,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,
OvisLink AirLive N450R,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2012
Edimax BR-6208AC,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2014
E-TOP GR290n,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
Amigo BRB72n,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
Aruba Networks AP-125,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2007
Belkin F7D3301,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2010
D-Link DIR-803 rev B1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2014
Apple AirPort Express Base Station A1264 (MB321LL/A),16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2008
SAPIDO RB-1733,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
Cisco AIR-OEAP602I-A-K9,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2011
TRENDnet TEW-810DR,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2013
Samsung CY-SWR1100,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2011
Linksys WAP300N,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2013
Actiontec GT784WNV,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
Arcadyan ARV7518PW,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
QTECH QDSL-1040WU rev.2,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
Linksys E2100L,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2010
Buffalo WHR-300HP2,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
D-Link DAP-2360,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2010
Buffalo AirStation WSR-600DHP,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2015
Fonera 2.0n (FON2303B),8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2009
FON Wireless FON2501B,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2013
Linksys E2500 v2,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2012
Linksys E2500 v1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2011
Linksys WAG310G,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bg,2007
ZyXEL X650,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn+ac,2013
Linksys WRVS4400N v1.0,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2006
TP-LINK TD-W8961ND v3.x,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
Belkin F9K1102 v2,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2012
ZyXEL NBG-419N v2,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2012
ASUS 4G-N12,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2015
ZyXEL P8802T,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2012
Netis WF2710,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2013
TP-LINK TL-WR1042ND,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2012
Handlink WAP-001 rev. 2,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2014
Netgear WNR2200,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2010
Ruckus Wireless ZoneFlex 7962,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2009
ASUS RP-AC56,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn+ac,2015
Belkin F5D8636-4 v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2009
TCL T1 (SL-WR802J),8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
ZuniDigital ZGR304F,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
Celeno VXT1836,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,an,2013
T-Com Speedport W723V Typ B,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2011
ZyXEL NWA1100-N,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
Belkin F7D8302,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2010
Zoom X7N ADSL Modem Series 1091,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
Realtek RTL8197D-11AC Reference Design,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn+ac,2013
HiWiFi HC6361,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
BT Home Hub 2.0B,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
BT Home Hub 3.0A,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
AboCom WR5503U,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
D-Link DIR-808L rev A1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2013
SFR Neufbox 6,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2010
TRENDnet TEW-691GR,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2010
D-Link DIR-803 rev A1,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2013
ZyXEL VFG6005N,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
Winstars WS-WN527A2,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn+ac,2014
Vodafone DSL-EasyBox 802,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
Motorola VAP2400,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,unspecified,an,2012
D-Link DIR-685,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2009
Intelbras NBOX,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
2Wire 3600HGV,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bg,2008
D-Link DIR-822 rev A1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2015
Cisco VEN501,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,an,2012
ASUS RT-AC1200,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2015
Buffalo WAPS-HP-AM54G54,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abg,
EnGenius ESR350,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2014
Netgear WNDR3300v2,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2010
D-Link DIR-810L rev A1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2013
Arris TG862G,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
ASUS RT-N13U B1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2009
LB-LINK BL-WDR4600,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2014
Netgear DGN3500,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2009
TRENDnet TEW-751DR V1.0R,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2013
SparkLAN WAPA-250N,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,
E-Lins H685,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
Ubiquiti Networks UniFi AP,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
EnGenius EPG600,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2014
E-TOP PR626g,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bg,2007
Actiontec Q1000 (Qwest),32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2009
Netgear WNDR3400v1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2010
Junxion Box (JB-110b),64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,b,2004
ASUS RT-AC53U,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2014
AVM FRITZ!Box Fon WLAN 7570,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,
Texas Instruments TI-Navigator Access Point (NAV-AP-US),16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bg,2008
Buffalo WPL-05G300,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2012
D-Link DIR-802 rev A1,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2013
Netgear WNDR3700v3,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2011
Buffalo WZR-300HP,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2012
ASUS RT-N600,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2015
EnGenius ENH210,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2012
FON Wireless FON2501A,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2013
Buffalo WZR-HP-G300NH2,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2011
TRENDnet TEW-733GR,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2013
Apple AirPort Express Base Station A1392 (MC414LL/A),,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2012
ASUS RP-N53,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2013
Netgear CGD24Nv1,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2009
Kasda KW5212H,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
BT Business Hub 3.0,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
Linksys E2500 v3,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2013
Allnet ALL0305,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abg,
ZyXEL NWA1123-NI v2,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2014
Linksys WRVS4400N v1.1,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2007
Cisco Meraki MR12,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2010
D-Link DIR-825 rev B1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2008
D-Link DSL-2740B rev F1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
Comtrend VR-3031u,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
Proxim ORiNOCO AP-8100,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn,2012
TP-LINK Archer C2 v1.x,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn+ac,2014
U4EA Technologies Fusion 70,,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2009
D-Link DIR-810L rev B1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,abgn+ac,2013
Kyocera KR1,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bg,2005
TP-LINK TD-W8960N v4.x,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
Alcatel-Lucent RG200E-CA (China Telecom),16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,
Actiontec C1000A (CenturyLink),64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,bgn,2012
Motorola SURFboard SBG6580,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100/1000,abgn,2010
Cisco WAP121,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2011
BEC Technologies BEC 8920NE,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,10/100,bgn,2013
Linksys WAP610N,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,abgn,2009
TRENDnet TEW-672GR,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100/1000,abgn,2008
TP-LINK TL-MR11U,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2011
Netgear CG814WGv1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bg,2003
TP-LINK TL-WR841ND v8.x,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2012
Linksys WAG325N v1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2006
Zoom X6 ADSL Router Series 1046 (5590A),4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bg,2006
TP-LINK TL-WR703N v1.0,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2012
Hawking HAW2R1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2011
Buffalo WHR-300HP,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2012
EnGenius ENH200,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2011
TP-LINK TL-WR840N v1 (China only?),4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,
Billion BiPAC 7402GX,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bg,2008
Linksys WAP55AG v1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,abg,2003
Linksys WRT350N v1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100/1000,bgn,2006
AboCom WR5204U,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2010
Texas Instruments AR7Wi (AR7W 92-8275-01 rev 4),8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bg,2006
TP-LINK TL-WR741ND v2.4,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2010
D-Link DIR-601 rev A1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2009
Emitech ETC-AL002AA,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bg,2009
D-Link DHP-1320 rev A1,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2011
SOHOware AeroGuard AAP1000,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,abg,2004
Belkin F5D8231-4 v2,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,10/100,bgn,2006
